location_code,hora,cantidad,sentido,latitud,longitud
"48Q38H00+","2020-05-01T05:00:00-0300",68,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T05:00:00-0300",197,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T05:00:00-0300",107,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T05:00:00-0300",399,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T05:00:00-0300",177,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T05:00:00-0300",491,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T05:00:00-0300",1337,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T05:00:00-0300",1761,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T05:00:00-0300",153,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T05:00:00-0300",920,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T05:00:00-0300",14,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T05:00:00-0300",51,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T05:00:00-0300",333,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T05:00:00-0300",192,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T05:00:00-0300",260,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T05:00:00-0300",52,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T05:00:00-0300",25,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T05:00:00-0300",16,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T05:00:00-0300",156,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T05:00:00-0300",236,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T05:00:00-0300",461,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T05:00:00-0300",427,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T05:00:00-0300",107,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T05:00:00-0300",392,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T05:00:00-0300",192,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T05:00:00-0300",122,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T06:00:00-0300",61,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T06:00:00-0300",116,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T06:00:00-0300",329,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T06:00:00-0300",207,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T06:00:00-0300",534,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T06:00:00-0300",206,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T06:00:00-0300",124,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T06:00:00-0300",228,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T06:00:00-0300",232,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T06:00:00-0300",394,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T06:00:00-0300",365,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T06:00:00-0300",625,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T06:00:00-0300",1814,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T06:00:00-0300",1956,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T06:00:00-0300",212,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T06:00:00-0300",1468,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T06:00:00-0300",10,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T06:00:00-0300",436,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T06:00:00-0300",477,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T06:00:00-0300",358,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T06:00:00-0300",410,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T06:00:00-0300",140,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T06:00:00-0300",31,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T06:00:00-0300",29,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T06:00:00-0300",124,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T06:00:00-0300",459,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T06:00:00-0300",595,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T06:00:00-0300",558,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T06:00:00-0300",107,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T06:00:00-0300",725,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T06:00:00-0300",404,"Ingreso",-34.53698,-58.470968
